MaxTime,Number of Requests Granted,Total Number of Requests,Average Duration of a Request
100,96,3136,7
100,75,1233,3
100,100,4984,4
100,99,3582,2
100,94,2395,4
100,88,1753,5
100,93,1933,3
100,95,2859,4
100,100,4372,4
100,99,4372,4
100,85,1445,5
100,100,3835,4
100,100,4376,2
100,98,2838,6
100,99,4971,2
100,100,4033,4
100,39,248,6
100,81,1528,3
100,98,3635,5
100,78,1214,7
100,87,1890,5
100,98,3259,2
100,99,3580,2
100,95,2259,7
100,80,1377,6
100,100,4917,4
100,86,1208,4
100,72,816,5
100,65,670,4
100,88,2011,5
100,30,141,4
100,99,3644,2
100,83,1415,1
100,99,4723,8
100,60,669,4
100,97,3824,2
100,90,1941,4
100,59,586,7
100,59,596,2
100,100,4421,1
100,30,155,3
100,96,2851,6
100,78,1153,5
100,21,77,3
100,85,1567,3
100,97,2923,3
100,100,3808,6
100,49,301,6
100,99,4345,2
100,83,1151,5
100,97,2614,4
100,84,1122,5
100,64,646,3
100,100,3500,6
100,80,1092,5
100,100,4137,6
100,90,2234,5
100,99,4122,6
100,99,3268,3
100,86,1619,2
100,100,4277,6
100,99,4646,4
100,99,4224,5
100,84,1424,7
100,90,1877,6
100,88,1820,7
100,82,1128,4
100,42,323,2
100,95,2617,2
100,81,1041,4
100,100,4406,2
100,97,3593,3
100,96,3279,1
100,86,2073,6
100,86,2108,5
100,97,3192,5
100,100,3760,5
100,93,3291,7
100,100,4034,5
100,91,2158,4
100,99,3004,5
100,94,2978,6
100,21,74,7
100,99,4266,7
100,77,1162,3
100,83,1584,4
100,77,1280,5
100,57,525,6
100,79,1274,7
100,98,3393,6
100,100,4881,6
100,99,2799,5
100,67,658,5
100,29,135,5
100,99,4435,5
100,63,776,3
100,65,847,4
100,98,4588,4
100,96,2960,5
100,76,1112,6
100,98,4327,4
100,94,2310,4
100,25,106,5
100,97,3411,6
100,100,4475,3
100,89,2077,4
100,67,826,7
100,93,2100,4
100,79,1223,5
100,99,4239,4
100,100,4815,3
100,100,3747,2
100,63,601,4
100,83,1548,5
100,99,3802,5
100,78,1105,7
100,69,915,5
100,90,2202,6
100,78,1148,6
100,97,3518,5
100,98,4479,4
100,96,3331,3
100,99,3073,4
100,85,1653,4
100,61,565,3
100,99,3701,5
100,100,4640,5
100,95,3106,5
100,99,4307,4
100,88,2198,6
100,94,2734,4
100,47,327,6
100,83,1346,6
100,98,3494,3
100,34,144,7
100,97,2388,5
100,97,2902,5
100,98,3578,3
100,99,4820,5
100,37,189,4
100,95,2384,5
100,97,4002,3
100,76,1177,2
100,84,2108,8
100,97,3037,5
100,30,155,7
100,88,1812,5
100,78,1223,2
100,100,4688,6
100,100,4676,4
100,87,1799,4
100,33,165,5
100,96,2759,4
100,97,3999,5
100,97,3591,6
100,99,4066,7
100,99,4525,3
100,57,484,4
100,96,3629,3
100,93,2085,7
100,99,4253,3
100,75,1019,6
100,90,2466,8
100,100,4609,3
100,100,4594,3
100,97,3783,4
