Size, Number optimal, Difference Total, Greedy, DP,Average Difference,Rounded Average Difference
216,91,902,2390,1488,4.17592592592593,4
234,150,116,819,703,0.495726495726496,0
240,143,183,1122,939,0.7625,1
270,196,180,1223,1043,0.666666666666667,1
276,179,181,1170,989,0.655797101449275,1
282,236,568,2463,1895,2.01418439716312,2
300,155,370,1998,1628,1.23333333333333,1
302,282,20,1303,1283,0.0662251655629139,0
310,165,908,3195,2287,2.92903225806452,3
316,272,924,5250,4326,2.92405063291139,3
324,142,670,2450,1780,2.0679012345679,2
324,219,143,1252,1109,0.441358024691358,0
340,262,128,1350,1222,0.376470588235294,0
344,177,365,1610,1245,1.06104651162791,1
344,272,72,2856,2784,0.209302325581395,0
354,200,292,1871,1579,0.824858757062147,1
360,221,224,1470,1246,0.622222222222222,1
366,164,704,2033,1329,1.92349726775956,2
366,118,2122,3845,1723,5.79781420765027,6
368,368,0,7214,7214,0,0
370,370,0,3075,3075,0,0
376,360,624,8534,7910,1.65957446808511,2
392,358,86,2398,2312,0.219387755102041,0
392,223,260,1798,1538,0.663265306122449,1
404,180,1101,3150,2049,2.72524752475248,3
446,243,397,2463,2066,0.890134529147982,1
458,282,612,3061,2449,1.33624454148472,1
474,396,78,5625,5547,0.164556962025316,0
476,362,2124,8174,6050,4.46218487394958,4
490,472,294,5655,5361,0.6,1
498,356,498,4103,3605,1,1
498,331,235,2163,1928,0.471887550200803,0
516,227,679,2778,2099,1.31589147286822,1
520,341,369,2736,2367,0.709615384615385,1
524,188,1465,3592,2127,2.79580152671756,3
538,490,48,2761,2713,0.0892193308550186,0
538,373,403,3501,3098,0.74907063197026,1
546,546,0,6417,6417,0,0
548,407,456,3376,2920,0.832116788321168,1
568,377,377,2880,2503,0.663732394366197,1
574,477,467,4647,4180,0.813588850174216,1
576,400,313,3082,2769,0.543402777777778,1
580,314,433,2916,2483,0.746551724137931,1
596,417,293,3236,2943,0.491610738255034,0
606,291,892,3713,2821,1.47194719471947,1
610,246,1694,4405,2711,2.77704918032787,3
648,464,184,5876,5692,0.283950617283951,0
650,448,411,4055,3644,0.632307692307692,1
652,378,522,3256,2734,0.800613496932515,1
654,356,976,4351,3375,1.49235474006116,1
656,472,184,7486,7302,0.280487804878049,0
680,191,4898,7964,3066,7.20294117647059,7
714,363,923,4211,3288,1.29271708683473,1
718,397,441,4599,4158,0.614206128133705,1
718,470,518,5773,5255,0.721448467966574,1
724,724,0,11748,11748,0,0
748,279,1789,4966,3177,2.39171122994652,2
768,324,2174,6302,4128,2.83072916666667,3
792,514,497,3810,3313,0.627525252525252,1
796,274,1411,4826,3415,1.77261306532663,2
798,384,1210,4905,3695,1.51629072681704,2
800,356,823,4624,3801,1.02875,1
800,316,3102,7466,4364,3.8775,4
808,536,302,3968,3666,0.373762376237624,0
820,387,1719,6438,4719,2.09634146341463,2
838,450,564,4671,4107,0.673031026252983,1
856,500,601,4290,3689,0.702102803738318,1
858,569,948,6993,6045,1.1048951048951,1
886,533,648,4803,4155,0.7313769751693,1
890,396,1141,6113,4972,1.28202247191011,1
894,400,1681,5989,4308,1.88031319910515,2
896,744,408,8942,8534,0.455357142857143,0
910,910,0,7383,7383,0,0
952,252,10158,17594,7436,10.6701680672269,11
956,498,4344,12830,8486,4.54393305439331,5
964,524,2398,9056,6658,2.48755186721992,2
984,824,1878,12022,10144,1.90853658536585,2
988,988,0,9390,9390,0,0
988,549,833,5218,4385,0.843117408906883,1
998,558,916,5355,4439,0.917835671342685,1
1020,718,1028,9362,8334,1.0078431372549,1
1028,612,580,6130,5550,0.56420233463035,1
1040,875,495,10868,10373,0.475961538461538,0
1046,541,2127,9867,7740,2.03346080305927,2
