Size, p1 Avg, p2 Avg 1, p2 Avg 2, p2 Avg 3,Edit Distance 1,Edit Distance 2,Edit Distance 3
25,191475,150294,137010,113158,2,3,2
50,327700,338267,335852,336305,5,5,5
100,1278890,1283751,1423056,1279856,11,11,10
200,5593739,5597634,5685220,5626195,20,22,22
400,20843242,21372110,21358856,21494477,40,38,40
800,88277765,87742888,88434218,88330570,80,79,81
1600,347983963,352279187,344966482,347698832,158,158,157
3200,1364947691,1389151181,1387486319,1393380315,317,317,314
6400,5424762851,5543719444,5524852430,5517209246,629,630,628
12800,21712460422,22137627722,22044604484,21960981073,1251,1249,1261
